variant,routers,metric,hardware_n,otns_n,hardware_mean_ms,otns_mean_ms,delta_mean_ms,delta_mean_ci95_low_ms,delta_mean_ci95_high_ms,hardware_median_ms,otns_median_ms,delta_median_ms,delta_median_ci95_low_ms,delta_median_ci95_high_ms
stock,2,parent_request_to_response_ms,100,100,258.53255034,245.27319,13.25936034,-26.133068649750015,53.091840737249946,245.3974485,238.92000000000002,6.47744849999998,-51.7349884,86.0165061499999
stock,2,parent_response_to_child_id_request_ms,100,100,493.4173703,504.72424,-11.306869699999993,-49.60151174324997,28.705241656250024,506.11150299999997,510.452,-4.340497000000028,-85.94068421249996,53.751958750000014
stock,2,child_id_request_to_response_ms,100,100,13.84467122,5.7872,8.05747122,7.685605761000001,8.408405449750001,13.928533000000002,5.416,8.512533000000001,7.9684195,8.772051
stock,2,full_attach_ms,100,100,765.79459194,755.78463,10.00996194000004,9.532852796500048,10.474688659999995,765.7186985,755.46,10.258698499999923,9.764069000000063,10.787600324999925
stock,2,parent_request_to_ack_ms,0,0,,,,,,,,,,
stock,2,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
stock,2,parent_response_to_ack_ms,100,100,4.00742543,4.0,0.007425429999999622,0.007325329999999575,0.007523180249999739,4.007101,4.0,0.00710099999999958,0.00710099999999958,0.007816000000000045
stock,2,parent_response_ack_to_child_id_request_ms,100,100,489.40994498,500.72424,-11.314295020000031,-51.07083972875004,26.922416525749956,502.10404400000004,506.452,-4.347955999999954,-83.38394482499994,53.05902413749997
stock,2,child_id_request_to_ack_ms,100,100,3.84764437,3.84,0.007644369999999956,0.007527530000000393,0.007761190000000084,3.847837,3.84,0.007837000000000316,0.007837000000000316,0.008075999999999972
stock,2,child_id_request_ack_to_child_id_response_ms,100,100,9.99702695,1.9472,8.04982695,7.6746371044999995,8.39129541025,10.079979999999999,1.576,8.503979999999999,7.970491674999999,8.758015
stock,2,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
stock,3,parent_request_to_response_ms,100,100,170.32947304,231.73695,-61.40747696,-95.8771208635,-26.319339024750047,157.203436,227.61599999999999,-70.41256399999997,-115.69395700000001,-19.61957787499999
stock,3,parent_response_to_child_id_request_ms,100,100,581.15554091,518.19904,62.956500910000045,29.437821211500054,98.51246576125,594.8884485,523.2239999999999,71.66444850000005,22.780021875000063,118.58911613750003
stock,3,child_id_request_to_response_ms,100,100,13.97642855,5.672,8.30442855,7.9580502520000005,8.629483247,14.1669515,5.416,8.7509515,8.412039,9.127099
stock,3,full_attach_ms,100,100,765.4614424,755.60799,9.853452400000037,9.330682793249991,10.370855616249978,765.2469874999999,755.52,9.72698749999995,9.1300408375,10.659067337499874
stock,3,parent_request_to_ack_ms,0,0,,,,,,,,,,
stock,3,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
stock,3,parent_response_to_ack_ms,100,100,4.007573209999999,4.0,0.007573209999999442,0.007461160000000078,0.007690020000000075,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.007935500000000317
stock,3,parent_response_ack_to_child_id_request_ms,100,100,577.14796783,514.19904,62.94892783,28.04791680850002,97.51405010224987,590.88099,519.2239999999999,71.65699000000006,22.095112174999997,118.27721854999997
stock,3,child_id_request_to_ack_ms,100,100,3.84766578,3.84,0.007665779999999955,0.0075608597500003375,0.00776829999999995,3.847837,3.84,0.007837000000000316,0.007837000000000316,0.008075999999999972
stock,3,child_id_request_ack_to_child_id_response_ms,100,100,10.12876271,1.832,8.29676271,7.9512034615000005,8.6224056765,10.319948499999999,1.576,8.743948499999998,8.408493499999999,9.1295135
stock,3,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
stock,4,parent_request_to_response_ms,100,100,195.81030131,223.56545,-27.75514869,-67.0022114935,11.788316437750003,154.9874545,203.55599999999998,-48.56854549999997,-108.16147000000002,11.956503524999988
stock,4,parent_response_to_child_id_request_ms,100,100,555.75910803,526.57056,29.188548029999993,-8.79255692025003,67.23665041649993,596.4570045,545.784,50.67300450000005,-9.953571112499978,107.44391900000005
stock,4,child_id_request_to_response_ms,100,100,13.92818685,5.5792,8.34898685,8.040296934499999,8.66006228075,13.862013999999999,5.096,8.766013999999998,8.170402,9.1065945
stock,4,full_attach_ms,100,100,765.49759628,755.71521,9.782386280000082,9.30293534200006,10.241614781250004,765.4448745,755.408,10.036874499999954,9.472063149999922,10.529943999999887
stock,4,parent_request_to_ack_ms,0,0,,,,,,,,,,
stock,4,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
stock,4,parent_response_to_ack_ms,100,100,4.007520749999999,4.0,0.00752074999999941,0.007420619749999547,0.007620890000000102,4.0074585,4.0,0.007458500000000257,0.00710099999999958,0.007816000000000045
stock,4,parent_response_ack_to_child_id_request_ms,100,100,551.75158733,522.57056,29.181027330000006,-9.799933171250043,66.80210825449991,592.4500224999999,541.784,50.66602249999994,-11.613002499999993,109.41624867499998
stock,4,child_id_request_to_ack_ms,100,100,3.84760138,3.84,0.007601380000000102,0.007496489750000302,0.007703900000000097,3.847837,3.84,0.007837000000000316,0.007122000000000295,0.007837000000000316
stock,4,child_id_request_ack_to_child_id_response_ms,100,100,10.08058546,1.7392,8.34138546,8.012788473250001,8.66341744975,10.014415,1.256,8.758415,8.191033475,9.098638
stock,4,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
stock-low-power,2,parent_request_to_response_ms,100,100,237.23111629,257.85238,-20.621263709999994,-60.713730430249996,20.50463341699998,225.7010935,279.58000000000004,-53.87890650000003,-109.31673128749999,27.598988224999875
stock-low-power,2,parent_response_to_child_id_request_ms,100,100,514.55889698,492.24848000000003,22.310416979999957,-18.441535051750034,62.00923144974994,524.7030259999999,470.53999999999996,54.163025999999945,-21.71997650000003,110.02350540000003
stock-low-power,2,child_id_request_to_response_ms,100,100,13.85126351,5.5824,8.268863510000001,7.997507044000001,8.533847249250002,13.8220785,5.416,8.4060785,7.653111,8.773506412499998
stock-low-power,2,full_attach_ms,100,100,765.64127685,755.68326,9.958016850000035,9.501591465000056,10.417997479999965,765.7380105,755.596,10.14201049999997,9.695964387499961,10.669983687499911
stock-low-power,2,parent_request_to_ack_ms,0,0,,,,,,,,,,
stock-low-power,2,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
stock-low-power,2,parent_response_to_ack_ms,100,100,4.0075351,4.0,0.007535100000000128,0.007432559749999812,0.007639989999999486,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.007818987500000008
stock-low-power,2,parent_response_ack_to_child_id_request_ms,100,100,510.55136201,488.24848000000003,22.302882009999962,-19.902256109749985,61.245458727999996,520.694971,466.53999999999996,54.154971000000046,-21.936441512500004,110.60443683749979
stock-low-power,2,child_id_request_to_ack_ms,100,100,3.84755366,3.84,0.007553660000000129,0.007458279500000264,0.0076514202500001845,3.847837,3.84,0.007837000000000316,0.007122000000000295,0.007837000000000316
stock-low-power,2,child_id_request_ack_to_child_id_response_ms,100,100,10.00370979,1.7424,8.26130979,7.9910367775,8.523018340999998,9.974599,1.576,8.398598999999999,7.6409815,8.7495935
stock-low-power,2,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
stock-low-power,3,parent_request_to_response_ms,100,100,257.13714123,266.01634,-8.879198770000016,-50.54536247374999,33.45927905724995,246.80650250000002,248.736,-1.9294974999999681,-80.99127999999999,63.52843588750001
stock-low-power,3,parent_response_to_child_id_request_ms,100,100,494.27448746,483.99492,10.27956746000001,-30.86847736775004,51.15242841249999,503.36098649999997,501.424,1.936986499999989,-62.32251305,81.61226897499985
stock-low-power,3,child_id_request_to_response_ms,100,100,13.91607759,5.6624,8.25367759,7.987331773499999,8.5170826455,13.9740705,5.416,8.5580705,8.091410549999999,8.758937999999999
stock-low-power,3,full_attach_ms,100,100,765.32770629,755.67366,9.654046289999997,9.221830082749937,10.080090598750015,765.5985355,755.6759999999999,9.922535500000095,9.440488999999957,10.37852835000004
stock-low-power,3,parent_request_to_ack_ms,0,0,,,,,,,,,,
stock-low-power,3,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
stock-low-power,3,parent_response_to_ack_ms,100,100,4.007511249999999,4.0,0.007511249999999414,0.007415859750000054,0.007606639999999665,4.0074585,4.0,0.007458500000000257,0.00710099999999958,0.007816000000000045
stock-low-power,3,parent_response_ack_to_child_id_request_ms,100,100,490.26697636,479.99492,10.272056360000022,-29.42431306150002,51.45393244375005,499.35400500000003,497.424,1.930005000000051,-61.292098349999954,83.45876572499994
stock-low-power,3,child_id_request_to_ack_ms,100,100,3.84759905,3.84,0.007599050000000052,0.0074917600000001805,0.007708720000000113,3.847837,3.84,0.007837000000000316,0.007122000000000295,0.008075999999999972
stock-low-power,3,child_id_request_ack_to_child_id_response_ms,100,100,10.0684786,1.8224,8.2460786,7.9916276675,8.498843461249999,10.1264715,1.576,8.550471499999999,8.083963,8.750862
stock-low-power,3,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
stock-low-power,4,parent_request_to_response_ms,100,100,280.21042111,245.43424,34.77618111000004,-3.337214909000017,74.26816690024998,292.27709749999997,248.436,43.84109749999996,-19.502707074999986,128.93074134999992
stock-low-power,4,parent_response_to_child_id_request_ms,100,100,471.34747742999997,504.41525,-33.067772570000045,-71.37295441450003,5.129897510500034,460.78741549999995,500.352,-39.564584500000024,-127.50580555000005,22.61609923749984
stock-low-power,4,child_id_request_to_response_ms,100,100,13.9851356,5.8672,8.1179356,7.78218795625,8.43555820025,13.9420035,5.736,8.206003500000001,7.846110500000001,8.6940885
stock-low-power,4,full_attach_ms,100,100,765.54303405,755.71669,9.826344049999989,9.336007715250087,10.309684509749982,765.4744384999999,755.552,9.922438499999885,9.147512199999928,10.627524600000019
stock-low-power,4,parent_request_to_ack_ms,0,0,,,,,,,,,,
stock-low-power,4,parent_request_ack_to_parent_response_ms,0,0,,,,,,,,,,
stock-low-power,4,parent_response_to_ack_ms,100,100,4.00758039,4.0,0.0075803900000002145,0.007477859749999838,0.007682880249999946,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.008054999999999701
stock-low-power,4,parent_response_ack_to_child_id_request_ms,100,100,467.3398972,500.41525,-33.07535280000002,-72.83172195750004,6.394218929249985,456.77948,496.352,-39.57252,-129.67842956250004,23.658556074999943
stock-low-power,4,child_id_request_to_ack_ms,100,100,3.84768486,3.84,0.007684860000000349,0.007572790000000218,0.007794550250000287,3.847837,3.84,0.007837000000000316,0.007837000000000316,0.008075999999999972
stock-low-power,4,child_id_request_ack_to_child_id_response_ms,100,100,10.13745066,2.0272,8.11025066,7.761423099750001,8.417621935,10.094642499999999,1.896,8.198642499999998,7.8380345,8.6864895
stock-low-power,4,adjusted_parent_request_to_response_ms,100,0,,,,,,,,,,
