platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock,3,parent_response_ack_to_child_id_request_ms,100,514.19904,140.9911436220622,519.2239999999999,241.798,297.186,398.36,640.158,714.3908,257.808,738.488,516.815825
hardware,stock,3,parent_response_ack_to_child_id_request_ms,100,577.14796783,106.93866573241712,590.88099,157.34148,411.12685215000005,507.26413725000003,664.60561725,717.89873875,253.951073,736.992836,584.77005065
otns,stock,3,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock,3,child_id_request_to_ack_ms,100,3.84766578,0.000531607103721474,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.847688375
otns,stock,3,child_id_request_ack_to_child_id_response_ms,100,1.832,1.4318060926217233,1.576,1.2800000000000002,0.616,0.936,2.216,4.151999999999999,0.616,10.216,1.576
hardware,stock,3,child_id_request_ack_to_child_id_response_ms,100,10.12876271,0.9671236964995091,10.319948499999999,1.4331337499999997,8.587002550000001,9.3767645,10.80989825,11.45291365,8.165121,13.534069,10.1292759
otns,stock,3,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock,3,adjusted_parent_request_to_response_ms,100,9.74947304,1.0456221299636381,9.8619165,1.5670115000000013,8.09825885,8.920955249999999,10.48796675,11.3147746,7.447817,11.574064,9.77771275
otns,stock,4,parent_request_to_response_ms,100,223.56545,145.76194980431296,203.55599999999998,227.87599999999998,22.285999999999998,92.456,320.332,469.612,4.736,501.544,217.62460000000002
hardware,stock,4,parent_request_to_response_ms,100,195.81030131,133.50830724424893,154.9874545,211.67248475000002,25.491058799999998,86.61729125,298.289776,428.03564044999996,11.876822,499.752998,186.46885456249998
otns,stock,4,parent_response_to_child_id_request_ms,100,526.57056,145.66742990544932,545.784,229.19424999999995,280.45599999999996,428.58175,657.776,727.9556,249.2,746.92,532.5830125
hardware,stock,4,parent_response_to_child_id_request_ms,100,555.75910803,133.51178752623832,596.4570045,213.2674455,323.8157866,452.71217824999997,665.97962375,727.9484748000001,251.246929,741.108179,565.08203145
otns,stock,4,child_id_request_to_response_ms,100,5.5792,1.2410185455113192,5.096,1.04,4.456,4.776,5.816,8.616,4.456,10.856,5.32
hardware,stock,4,child_id_request_to_response_ms,100,13.92818685,1.0777955753496111,13.862013999999999,1.4470222499999998,12.44752395,13.15659275,14.603615,15.6235103,12.108088,19.240856,13.8748496375
otns,stock,4,full_attach_ms,100,755.71521,1.613827148912072,755.408,1.9817500000000337,753.5156499999999,754.692,756.67375,759.122,752.856,760.664,755.5874125
hardware,stock,4,full_attach_ms,100,765.49759628,1.7620960253245284,765.4448745,2.295374749999951,762.6242994,764.297366,766.59274075,768.7057252999999,761.963129,771.367073,765.4527843375
otns,stock,4,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock,4,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock,4,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock,4,parent_response_to_ack_ms,100,4.007520749999999,0.0005107122057193316,4.0074585,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.007524275
otns,stock,4,parent_response_ack_to_child_id_request_ms,100,522.57056,145.66742990544932,541.784,229.19424999999995,276.45599999999996,424.58175,653.776,723.9556,245.2,742.92,528.5830125
hardware,stock,4,parent_response_ack_to_child_id_request_ms,100,551.75158733,133.5118122247334,592.4500224999999,213.26732575,319.8086975,448.704541,661.97186675,723.941338,247.240067,737.101078,561.07449525
otns,stock,4,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock,4,child_id_request_to_ack_ms,100,3.84760138,0.0005309540637170425,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8476108625
otns,stock,4,child_id_request_ack_to_child_id_response_ms,100,1.7392,1.2410185455113192,1.256,1.04,0.616,0.936,1.976,4.776,0.616,7.016,1.48
hardware,stock,4,child_id_request_ack_to_child_id_response_ms,100,10.08058546,1.0778139704495064,10.014415,1.447737,8.5994599,9.308517,10.756254,11.7766263,8.260012,15.393972,10.0272417
otns,stock,4,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock,4,adjusted_parent_request_to_response_ms,100,9.78030131,1.635512964699249,9.689558,1.520680500000001,7.90207535,8.87927375,10.39995425,11.20542515,7.464088,22.030138,9.673315225
otns,stock-low-power,2,parent_request_to_response_ms,100,257.85238,150.90690396251296,279.58000000000004,251.36,20.158,133.986,385.346,485.7592,7.376,501.304,258.771875
hardware,stock-low-power,2,parent_request_to_response_ms,100,237.23111629,140.3167471141743,225.7010935,199.40656400000006,25.803554150000004,134.46247599999998,333.86904000000004,478.01471939999993,15.542984,506.930113,233.1694513375
otns,stock-low-power,2,parent_response_to_child_id_request_ms,100,492.24848000000003,150.81399949301922,470.53999999999996,250.82999999999993,264.884,365.062,615.8919999999999,730.7424,247.24,744.488,491.2835
hardware,stock-low-power,2,parent_response_to_child_id_request_ms,100,514.55889698,140.30874164732657,524.7030259999999,197.67969874999994,275.69702865,418.1408285,615.8205272499999,726.1108045,245.051861,738.111019,518.50965315
otns,stock-low-power,2,child_id_request_to_response_ms,100,5.5824,0.9545759225536707,5.416,1.2800000000000002,4.456,4.776,6.056,7.671999999999999,4.456,8.616,5.444
hardware,stock-low-power,2,child_id_request_to_response_ms,100,13.85126351,0.9862433023224076,13.8220785,1.5902519999999996,12.3341199,13.05025825,14.64051025,15.418696200000001,12.127876,15.980005,13.826498387500001
otns,stock-low-power,2,full_attach_ms,100,755.68326,1.5852854544596104,755.596,1.7699999999999818,753.1880000000001,754.712,756.482,758.592,752.56,759.896,755.630975
hardware,stock-low-power,2,full_attach_ms,100,765.64127685,1.6865544482085857,765.7380105,2.433001999999874,762.78346775,764.3824812500001,766.8154832499999,768.2957057499999,762.100935,769.959927,765.6618297
otns,stock-low-power,2,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,2,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,2,parent_response_to_ack_ms,100,4.0075351,0.0005329765947065591,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.0075422125
