platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,stock-low-power,2,child_id_request_to_ack_ms,100,3.84755366,0.0005045303090272697,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.848791,3.8475631375
otns,stock-low-power,2,child_id_request_ack_to_child_id_response_ms,100,1.7424,0.954575922553671,1.576,1.2800000000000002,0.616,0.936,2.216,3.831999999999999,0.616,4.776,1.604
hardware,stock-low-power,2,child_id_request_ack_to_child_id_response_ms,100,10.00370979,0.9861959452268524,9.974599,1.5903117499999997,8.486950199999999,9.203136,10.79344775,11.570679799999999,8.280993,12.131929,9.978944049999999
otns,stock-low-power,3,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock-low-power,3,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock-low-power,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock-low-power,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock-low-power,3,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock-low-power,3,parent_response_to_ack_ms,100,4.007511249999999,0.000505029659595041,4.0074585,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.007524312499999
otns,stock-low-power,3,parent_response_ack_to_child_id_request_ms,100,479.99492,150.00457952333767,497.424,282.52799999999996,256.326,336.382,618.91,686.058,247.84,740.96,480.3155625
hardware,stock-low-power,3,parent_response_ack_to_child_id_request_ms,100,490.26697636,146.62014357832692,499.35400500000003,252.48205600000006,265.47085015,357.08671849999996,609.5687745,704.6967508,240.960836,734.199047,491.583168525
otns,stock-low-power,3,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock-low-power,3,child_id_request_to_ack_ms,100,3.84759905,0.000556838720915632,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8476049625
otns,stock-low-power,3,child_id_request_ack_to_child_id_response_ms,100,1.8224,0.934176588761407,1.576,0.9600000000000002,0.616,1.256,2.216,3.816,0.616,5.096,1.716
