platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,stock,3,child_id_request_ack_to_child_id_response_ms,94,1.7768510638297872,1.1806464964681478,1.576,1.2800000000000002,0.616,0.936,2.216,4.136,0.616,6.696,1.5886315789473684
hardware,stock,3,child_id_request_ack_to_child_id_response_ms,99,10.12186087878788,0.9695670555762302,10.318995,1.4200210000000002,8.5861681,9.376526,10.796547,11.453867299999999,8.165121,13.534069,10.115973728395062
otns,stock,3,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock,3,adjusted_parent_request_to_response_ms,99,9.765176464646464,1.0390238871298556,9.878918,1.5724975000000008,8.0792917,8.927475999999999,10.4999735,11.3195862,7.447817,11.574064,9.794903691358025
otns,stock,4,parent_request_to_response_ms,96,223.39142708333333,146.79729120588058,203.55599999999998,228.97,22.086,91.362,320.332,469.724,4.736,501.544,217.79191025641026
hardware,stock,4,parent_request_to_response_ms,96,197.244125125,132.76357514811988,154.9874545,205.84207800000001,25.8945825,92.447698,298.289776,429.55446225000003,11.876822,499.752998,188.18677696153847
otns,stock,4,parent_response_to_child_id_request_ms,96,526.7625,146.69812079785157,545.784,230.25824999999992,280.2,428.58175,658.8399999999999,728.098,249.2,746.92,532.4199102564103
hardware,stock,4,parent_response_to_child_id_request_ms,96,554.2962873541667,132.75739400885257,596.4570045,206.29370200000005,321.738541,452.71217824999997,659.00588025,724.663317,251.246929,741.108179,563.3764297179487
otns,stock,4,child_id_request_to_response_ms,96,5.589333333333333,1.2552698738280748,5.096,1.04,4.456,4.776,5.816,8.616,4.456,10.856,5.342153846153846
hardware,stock,4,child_id_request_to_response_ms,96,13.8732591875,0.9454063324081768,13.862013999999999,1.3896824999999993,12.44151575,13.14282375,14.532506249999999,15.46597525,12.108088,16.071081,13.857025333333333
otns,stock,4,full_attach_ms,96,755.7432604166667,1.6409043799383582,755.54,2.034750000000031,753.49825,754.674,756.70875,759.13,752.856,760.664,755.6186794871795
hardware,stock,4,full_attach_ms,96,765.41367175,1.6239131212818438,765.383482,2.180517000000009,762.593925,764.297366,766.477883,768.0097217499999,761.963129,769.145012,765.4158947179487
otns,stock,4,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,stock,4,parent_request_to_ack_ms,,,,,,,,,,,,
otns,stock,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,stock,4,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,stock,4,parent_response_to_ack_ms,96,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,stock,4,parent_response_to_ack_ms,96,4.007533270833333,0.0005123180648399983,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.007538192307692
otns,stock,4,parent_response_ack_to_child_id_request_ms,96,522.7625,146.69812079785157,541.784,230.25824999999992,276.2,424.58175,654.8399999999999,724.098,245.2,742.92,528.4199102564103
hardware,stock,4,parent_response_ack_to_child_id_request_ms,96,550.2887541458333,132.7574217588323,592.4500224999999,206.29399975000007,317.7314995,448.704541,654.9985407500001,720.65597775,247.240067,737.101078,559.3688823589744
otns,stock,4,child_id_request_to_ack_ms,96,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,stock,4,child_id_request_to_ack_ms,96,3.8476188645833336,0.0005288057173786221,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8476295128205127
otns,stock,4,child_id_request_ack_to_child_id_response_ms,96,1.7493333333333334,1.2552698738280748,1.256,1.04,0.616,0.936,1.976,4.776,0.616,7.016,1.5021538461538462
hardware,stock,4,child_id_request_ack_to_child_id_response_ms,96,10.025640302083334,0.9453932666676603,10.014415,1.3900992499999987,8.5934995,9.2947485,10.68484775,11.618197250000001,8.260012,12.223005,10.009401858974359
otns,stock,4,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,stock,4,adjusted_parent_request_to_response_ms,96,9.817041791666666,1.6422120322055982,9.706112000000001,1.5041392499999997,7.947077,8.90172475,10.405864,11.231005750000001,7.564913,22.030138,9.700347987179487
otns,stock-low-power,2,parent_request_to_response_ms,99,257.98842424242423,151.66871938592058,283.336,251.8,19.94,133.55599999999998,385.356,485.8224,7.376,501.304,258.85330864197533
hardware,stock-low-power,2,parent_request_to_response_ms,100,237.23111629,140.3167471141743,225.7010935,199.40656400000006,25.803554150000004,134.46247599999998,333.86904000000004,478.01471939999993,15.542984,506.930113,233.1694513375
otns,stock-low-power,2,parent_response_to_child_id_request_ms,99,492.1111919191919,151.57522502635226,466.24,252.13999999999993,264.848,364.604,616.7439999999999,730.8848,247.24,744.488,491.20296296296294
hardware,stock-low-power,2,parent_response_to_child_id_request_ms,100,514.55889698,140.30874164732657,524.7030259999999,197.67969874999994,275.69702865,418.1408285,615.8205272499999,726.1108045,245.051861,738.111019,518.50965315
otns,stock-low-power,2,child_id_request_to_response_ms,99,5.5808484848484845,0.9593071092565351,5.416,1.2800000000000002,4.456,4.776,6.056,7.687999999999998,4.456,8.616,5.4476049382716045
hardware,stock-low-power,2,child_id_request_to_response_ms,100,13.85126351,0.9862433023224076,13.8220785,1.5902519999999996,12.3341199,13.05025825,14.64051025,15.418696200000001,12.127876,15.980005,13.826498387500001
otns,stock-low-power,2,full_attach_ms,99,755.6804646464647,1.5931053894518845,755.56,1.8199999999999363,753.176,754.712,756.5319999999999,758.592,752.56,759.896,755.6291111111111
