platform,variant,routers,metric,value_ms,outer_fence_low_ms,outer_fence_high_ms,source_run,retransmission_observed,duplicate_sequence_observed,classification,disposition
otns,ucast,4,parent_response_to_child_id_request_ms,29.128,2.3760000000000003,9.096,results/smoke/ucast-4routers-pcap-validation-20260919/run_044/baseline_summary_20260919T095341Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,ucast,4,parent_response_to_child_id_request_ms,11.016,2.3760000000000003,9.096,results/smoke/ucast-4routers-pcap-validation-20260919/run_070/baseline_summary_20260919T095405Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,ucast,4,parent_response_to_child_id_request_ms,12.184,2.3760000000000003,9.096,results/smoke/ucast-4routers-pcap-validation-20260919/run_085/baseline_summary_20260919T095419Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,ucast,4,parent_response_to_child_id_request_ms,13.576,2.3760000000000003,9.096,results/smoke/ucast-4routers-pcap-validation-20260919/run_102/baseline_summary_20260919T095431Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,ucast,4,parent_response_to_child_id_request_ms,10.696,2.3760000000000003,9.096,results/smoke/ucast-4routers-pcap-replacements-20260919/run_003/baseline_summary_20260919T100141Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,ucast,4,child_id_request_to_response_ms,9.256,2.216,8.936,results/smoke/ucast-4routers-pcap-validation-20260919/run_026/baseline_summary_20260919T095325Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,ucast,4,child_id_request_to_response_ms,9.256,2.216,8.936,results/smoke/ucast-4routers-pcap-validation-20260919/run_032/baseline_summary_20260919T095325Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,ucast,4,child_id_request_to_response_ms,20.552,2.216,8.936,results/smoke/ucast-4routers-pcap-validation-20260919/run_044/baseline_summary_20260919T095341Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-corrected,2,child_id_request_to_response_ms,10.536,0.935999999999999,9.896,results/smoke/fast-attach-corrected-2routers-pcap-validation-20260919/run_041/baseline_summary_20260919T112839Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,21.064,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_004/baseline_summary_20260919T112819Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,10.696,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_040/baseline_summary_20260919T112839Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,9.816,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_044/baseline_summary_20260919T112843Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-corrected,3,parent_response_to_child_id_request_ms,17.416,2.056,9.336,results/smoke/fast-attach-corrected-3routers-pcap-validation-20260919/run_054/baseline_summary_20260919T112849Z.json,False,False,valid_complete_sequence_long_tail,retained
