sample_index,sim_time_s,mobile_x,mobile_y,mobile_state,mobile_rloc16,parent_extaddr,parent_rloc16,parent_node_guess,parent_link_quality_in,parent_link_quality_out,parent_age,parent_version,mobile_to_parent_target,mobile_to_parent_target_rloc16,mobile_to_parent_target_extaddr,mobile_tx_power_dbm,mobile_verified_tx_power_dbm,mobile_to_parent_target_tx_power_dbm,mobile_to_parent_target_verified_tx_power_dbm,mobile_to_parent_tx,mobile_to_parent_rx,mobile_to_parent_loss_pct,mobile_to_parent_rtt_min_ms,mobile_to_parent_rtt_avg_ms,mobile_to_parent_rtt_max_ms,mobile_to_parent_sim_rss_method,mobile_to_parent_sim_rss_match_status,mobile_to_parent_sim_rss_match_confidence,mobile_to_parent_request_rx_sim_rss_dbm,mobile_to_parent_request_rx_sim_lqi,mobile_to_parent_reply_rx_sim_rss_dbm,mobile_to_parent_reply_rx_sim_lqi,mobile_to_parent_sim_rss_event_time_s,parent_switch,connectivity_ok,selected_radio_model,device_profile,thread_device_type,parent_search_config,packet_probe_reliable,primary_parent_observation,scenario_phase,removed_parent_node,removed_parent_node_id,ip_counters_json,mle_counters_json,router_a_scan_dbm,router_a_scan_lqi,router_b_scan_dbm,router_b_scan_lqi,router_c_scan_dbm,router_c_scan_lqi,router_d_scan_dbm,router_d_scan_lqi
10,316.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,15,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""8"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""15025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""16000""}",,,,,,,,
11,317.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,16,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""8"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""16025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""17000""}",,,,,,,,
12,318.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,17,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""8"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""17025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""18000""}",,,,,,,,
13,319.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,18,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""8"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""18025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""19000""}",,,,,,,,
14,320.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,19,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""8"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""19025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""20000""}",,,,,,,,
15,321.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,20,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""9"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""20025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""21000""}",,,,,,,,
16,322.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,21,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""9"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""21025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""22000""}",,,,,,,,
17,323.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,22,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""10"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""22025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""23000""}",,,,,,,,
18,324.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,23,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""10"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""23025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""24000""}",,,,,,,,
19,325.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,24,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""11"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""24025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""25000""}",,,,,,,,
20,326.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,25,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""11"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""25025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""26000""}",,,,,,,,
21,327.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,26,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""11"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""26025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""27000""}",,,,,,,,
22,328.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,27,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""11"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""27025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""28000""}",,,,,,,,
23,329.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,28,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""11"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""28025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""29000""}",,,,,,,,
24,330.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,29,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""11"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""29025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""30000""}",,,,,,,,
25,331.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,30,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""11"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""30025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""31000""}",,,,,,,,
26,332.0,375.0,300.0,child,9404,526b1e309a840769,9400,,3,3,31,5,,9400,526b1e309a840769,0.0,0.0,,,,,,,,,,,,,,,,,False,False,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,post_parent_removal,router_b,2,"{""RxFailed"": ""0"", ""RxSuccess"": ""12"", ""TxFailed"": ""0"", ""TxSuccess"": ""2""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""31025"", ""Time Detached Milli"": ""975"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""32000""}",,,,,,,,
